report_date_as_yyyy_mm_dd,market_and_exchange_names,open_interest_all,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,lev_net_position
2006-06-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2042655,224534,388325,137123,-163791
2006-06-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,788846,36732,90575,24902,-53843
2006-06-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,618703,41670,85048,2690,-43378
2006-06-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1293970,115509,347742,25015,-232233
2006-06-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,623630,41875,88086,2759,-46211
2006-06-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1298945,120141,364186,25620,-244045
2006-07-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,623220,36505,83643,3501,-47138
2006-07-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1332529,130095,348261,27374,-218166
2006-07-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,624481,36652,83156,3701,-46504
2006-07-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1344585,135915,381536,30213,-245621
2006-07-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,627990,37712,88269,4387,-50557
2006-07-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1403408,129167,432329,32085,-303162
2006-07-25,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1378698,121697,390705,30563,-269008
2006-07-25,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,623812,35976,83130,4749,-47154
2006-08-01,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,619115,39203,81862,3972,-42659
2006-08-01,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1386714,97063,386479,34064,-289416
2006-08-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1465662,127708,456097,32368,-328389
2006-08-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,624608,38378,79460,3955,-41082
2006-08-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1503215,169740,459880,27439,-290140
2006-08-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,632529,39324,61002,3710,-21678
2006-08-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1547766,176854,490050,24204,-313196
2006-08-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,640097,40917,57961,4096,-17044
2006-08-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1581886,192097,465518,45222,-273421
2006-08-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,642879,45674,55746,5838,-10072
2006-09-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,647167,46494,57429,4842,-10935
2006-09-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1672748,224934,539306,40987,-314372
